"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
27,-2.170087977,-10.4398827,-8.211143695,-6.803519062,-5.513196481,-3.753665689,-13.19648094,-6.460236379,-9.918403876,-53.63363999
28,-2.287390029,-10.49853372,-8.211143695,-6.862170088,-5.571847507,-3.812316716,-13.19648094,-6.521679993,-10.01997828,-54.15688788
29,-2.346041056,-10.49853372,-8.269794721,-6.920821114,-5.630498534,-3.870967742,-13.19648094,-6.563366389,-10.07752354,-54.55691519
30,-2.346041056,-10.55718475,-8.328445748,-6.920821114,-5.630498534,-3.870967742,-13.25513196,-6.588615275,-10.08671653,-54.82042886
31,-2.404692082,-10.61583578,-8.328445748,-6.979472141,-5.630498534,-3.870967742,-13.37243402,-6.616348621,-10.10359957,-55.03219556
32,-2.404692082,-10.6744868,-8.387096774,-6.979472141,-5.68914956,-3.929618768,-13.48973607,-6.636196741,-10.09553189,-55.18939371
33,-2.404692082,-10.73313783,-8.387096774,-6.979472141,-5.68914956,-3.929618768,-13.60703812,-6.653841653,-10.08608923,-55.30603657
34,-2.404692082,-10.85043988,-8.445747801,-7.038123167,-5.68914956,-3.929618768,-13.72434018,-6.675685714,-10.08056451,-55.38181794
35,-2.404692082,-10.90909091,-8.504398827,-7.038123167,-5.747800587,-3.929618768,-13.84164223,-6.707419209,-10.08192922,-55.42005467
36,-2.463343109,-10.96774194,-8.563049853,-7.096774194,-5.747800587,-3.988269795,-13.95894428,-6.757298634,-10.11420535,-55.45497969
37,-2.463343109,-11.08504399,-8.62170088,-7.15542522,-5.806451613,-4.046920821,-14.07624633,-6.813171772,-10.13771983,-55.4646257
38,-2.521994135,-11.14369501,-8.680351906,-7.214076246,-5.865102639,-4.105571848,-14.19354839,-6.877876235,-10.19044347,-55.49352189
39,-2.580645161,-11.26099707,-8.739002933,-7.272727273,-5.923753666,-4.164222874,-14.31085044,-6.945851042,-10.24452255,-55.50633984
40,-2.580645161,-11.31964809,-8.856304985,-7.390029326,-6.041055718,-4.164222874,-14.42815249,-7.011176704,-10.2734977,-55.45676517
41,-2.639296188,-11.49560117,-8.914956012,-7.448680352,-6.099706745,-4.2228739,-14.60410557,-7.086266838,-10.3131235,-55.35824668
42,-2.639296188,-11.61290323,-9.032258065,-7.507331378,-6.158357771,-4.281524927,-14.83870968,-7.15334008,-10.31441451,-55.13867071
43,-2.639296188,-11.7888563,-9.149560117,-7.565982405,-6.158357771,-4.281524927,-15.07331378,-7.211014229,-10.29315211,-54.80550345
44,-2.639296188,-12.02346041,-9.26686217,-7.683284457,-6.217008798,-4.281524927,-15.36656891,-7.261186836,-10.25132684,-54.37596689
45,-2.580645161,-12.25806452,-9.325513196,-7.683284457,-6.217008798,-4.281524927,-15.65982405,-7.298041814,-10.17366162,-53.85542132
46,-2.580645161,-12.4340176,-9.442815249,-7.741935484,-6.217008798,-4.2228739,-15.95307918,-7.335729471,-10.11221466,-53.32786178
47,-2.521994135,-12.6686217,-9.560117302,-7.80058651,-6.275659824,-4.2228739,-16.18768328,-7.367284403,-10.03988019,-52.79971653
48,-2.463343109,-12.84457478,-9.677419355,-7.859237537,-6.275659824,-4.2228739,-16.42228739,-7.396908689,-9.974655829,-52.29392745
49,-2.404692082,-12.96187683,-9.736070381,-7.917888563,-6.275659824,-4.164222874,-16.53958944,-7.42147331,-9.915584748,-51.80573144
50,-2.404692082,-13.13782991,-9.853372434,-7.976539589,-6.275659824,-4.164222874,-16.71554252,-7.451653456,-9.879867664,-51.3542374
51,-2.346041056,-13.25513196,-9.91202346,-7.976539589,-6.275659824,-4.164222874,-16.83284457,-7.47127456,-9.826991569,-50.90105595
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-4, -2] [Deg]: HH Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-2.75659824,-10.02932551,-7.917888563,-6.627565982,-5.513196481,-3.988269795,-12.84457478,-6.421136466,-10.45522755,-50.43552904
26,-2.815249267,-10.02932551,-7.917888563,-6.686217009,-5.513196481,-4.046920821,-12.6686217,-6.453622255,-10.52522864,-51.41229089
27,-2.815249267,-9.970674487,-7.917888563,-6.686217009,-5.571847507,-4.105571848,-12.60997067,-6.479884188,-10.56949476,-52.32826217
28,-2.815249267,-9.970674487,-7.976539589,-6.744868035,-5.630498534,-4.105571848,-12.55131965,-6.503525907,-10.60056042,-53.10484732
29,-2.873900293,-10.02932551,-7.976539589,-6.744868035,-5.630498534,-4.164222874,-12.49266862,-6.531965869,-10.63658664,-53.6984199
30,-2.873900293,-10.08797654,-8.035190616,-6.803519062,-5.68914956,-4.164222874,-12.55131965,-6.562476319,-10.6339257,-54.06025695
31,-2.873900293,-10.14662757,-8.093841642,-6.862170088,-5.68914956,-4.164222874,-12.60997067,-6.600286563,-10.62458151,-54.24193479
32,-2.815249267,-10.26392962,-8.152492669,-6.862170088,-5.747800587,-4.164222874,-12.78592375,-6.634100169,-10.58196391,-54.2735898
33,-2.815249267,-10.32258065,-8.211143695,-6.920821114,-5.747800587,-4.164222874,-12.90322581,-6.665117281,-10.56183369,-54.27310367
34,-2.815249267,-10.38123167,-8.269794721,-6.979472141,-5.747800587,-4.164222874,-12.96187683,-6.69235975,-10.55687779,-54.29309542
35,-2.873900293,-10.4398827,-8.269794721,-6.979472141,-5.806451613,-4.2228739,-13.02052786,-6.731733589,-10.59700424,-54.38423708
36,-2.93255132,-10.49853372,-8.328445748,-7.038123167,-5.865102639,-4.281524927,-13.02052786,-6.778907656,-10.65789506,-54.51103895
37,-2.991202346,-10.49853372,-8.387096774,-7.096774194,-5.923753666,-4.340175953,-13.02052786,-6.828447543,-10.72601725,-54.64832582
38,-3.049853372,-10.55718475,-8.387096774,-7.096774194,-5.923753666,-4.398826979,-13.07917889,-6.873758282,-10.78503159,-54.75855246
39,-3.049853372,-10.61583578,-8.445747801,-7.15542522,-5.982404692,-4.398826979,-13.07917889,-6.905958022,-10.80515348,-54.77476109
40,-3.108504399,-10.6744868,-8.504398827,-7.214076246,-6.041055718,-4.457478006,-13.19648094,-6.942357316,-10.82166746,-54.70387607
41,-3.049853372,-10.73313783,-8.563049853,-7.214076246,-6.041055718,-4.457478006,-13.31378299,-6.968305216,-10.78223649,-54.49009475
42,-3.049853372,-10.85043988,-8.62170088,-7.272727273,-6.041055718,-4.457478006,-13.48973607,-7.005194959,-10.7617448,-54.19330441
43,-3.049853372,-10.96774194,-8.680351906,-7.331378299,-6.099706745,-4.457478006,-13.60703812,-7.051003314,-10.75240935,-53.77171813
44,-3.049853372,-11.08504399,-8.739002933,-7.390029326,-6.158357771,-4.457478006,-13.84164223,-7.106823487,-10.73982842,-53.16104983
45,-3.049853372,-11.26099707,-8.856304985,-7.448680352,-6.158357771,-4.516129032,-14.07624633,-7.162106503,-10.71385585,-52.34368274
46,-2.991202346,-11.43695015,-8.973607038,-7.507331378,-6.217008798,-4.516129032,-14.36950147,-7.211550765,-10.66079898,-51.3743016
47,-2.991202346,-11.61290323,-9.032258065,-7.565982405,-6.275659824,-4.516129032,-14.6627566,-7.269697354,-10.63881873,-50.39362021
48,-2.991202346,-11.73020528,-9.149560117,-7.624633431,-6.33431085,-4.574780059,-14.8973607,-7.331415997,-10.63549643,-49.44659261
49,-3.049853372,-11.90615836,-9.26686217,-7.741935484,-6.392961877,-4.574780059,-15.13196481,-7.40300093,-10.66808372,-48.55944246
50,-3.049853372,-12.02346041,-9.325513196,-7.80058651,-6.451612903,-4.633431085,-15.30791789,-7.467744151,-10.6863891,-47.67468219
51,-3.108504399,-12.14076246,-9.384164223,-7.859237537,-6.51026393,-4.692082111,-15.42521994,-7.538167858,-10.73733715,-46.82303862
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-8, -6] [Deg]: HH Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-2.815249267,-10.4398827,-8.152492669,-6.862170088,-5.68914956,-4.105571848,-13.31378299,-6.617715522,-10.49775439,-51.50591947
26,-2.873900293,-10.4398827,-8.211143695,-6.920821114,-5.747800587,-4.164222874,-13.25513196,-6.667830336,-10.5726982,-52.28008411
27,-2.93255132,-10.4398827,-8.211143695,-6.979472141,-5.806451613,-4.2228739,-13.19648094,-6.717778556,-10.64959551,-53.04888792
28,-2.991202346,-10.4398827,-8.269794721,-6.979472141,-5.865102639,-4.281524927,-13.13782991,-6.762997507,-10.71191575,-53.73984285
29,-2.991202346,-10.49853372,-8.328445748,-7.038123167,-5.865102639,-4.340175953,-13.13782991,-6.799040093,-10.73319424,-54.28578552
30,-3.049853372,-10.55718475,-8.387096774,-7.096774194,-5.923753666,-4.340175953,-13.19648094,-6.839177946,-10.75825952,-54.70855108
31,-3.049853372,-10.61583578,-8.387096774,-7.096774194,-5.923753666,-4.398826979,-13.25513196,-6.870664732,-10.75164348,-54.9691987
32,-2.991202346,-10.6744868,-8.445747801,-7.15542522,-5.923753666,-4.340175953,-13.31378299,-6.890324878,-10.71466393,-55.07254086
33,-2.991202346,-10.73313783,-8.504398827,-7.15542522,-5.982404692,-4.340175953,-13.37243402,-6.908210017,-10.6929635,-55.08463036
34,-2.991202346,-10.79178886,-8.504398827,-7.214076246,-5.982404692,-4.340175953,-13.43108504,-6.922351627,-10.67552836,-55.04457937
35,-2.991202346,-10.79178886,-8.563049853,-7.214076246,-5.982404692,-4.340175953,-13.48973607,-6.938584408,-10.67277175,-55.00816539
36,-3.049853372,-10.85043988,-8.563049853,-7.214076246,-5.982404692,-4.398826979,-13.48973607,-6.966732242,-10.71054108,-55.00778621
37,-3.049853372,-10.85043988,-8.62170088,-7.272727273,-6.041055718,-4.457478006,-13.48973607,-6.99933853,-10.73913974,-54.98902238
38,-3.108504399,-10.90909091,-8.680351906,-7.331378299,-6.099706745,-4.457478006,-13.5483871,-7.046992765,-10.79300663,-54.97893595
39,-3.167155425,-10.96774194,-8.680351906,-7.390029326,-6.158357771,-4.516129032,-13.5483871,-7.100098417,-10.85621102,-54.96706617
40,-3.225806452,-11.02639296,-8.739002933,-7.448680352,-6.217008798,-4.574780059,-13.60703812,-7.159160839,-10.92458373,-54.94681948
41,-3.284457478,-11.02639296,-8.797653959,-7.507331378,-6.275659824,-4.692082111,-13.60703812,-7.216010207,-10.99005146,-54.87192724
42,-3.284457478,-11.08504399,-8.856304985,-7.507331378,-6.33431085,-4.692082111,-13.66568915,-7.261351674,-11.01404588,-54.65395176
43,-3.343108504,-11.20234604,-8.914956012,-7.565982405,-6.33431085,-4.750733138,-13.72434018,-7.301474935,-11.03390643,-54.28546393
44,-3.284457478,-11.26099707,-8.973607038,-7.624633431,-6.392961877,-4.692082111,-13.90029326,-7.324737405,-10.98218147,-53.69001468
45,-3.284457478,-11.43695015,-9.032258065,-7.624633431,-6.392961877,-4.692082111,-14.07624633,-7.349700055,-10.93144339,-52.9536632
46,-3.225806452,-11.5542522,-9.090909091,-7.683284457,-6.392961877,-4.692082111,-14.25219941,-7.371948888,-10.85350842,-52.10813014
47,-3.167155425,-11.73020528,-9.208211144,-7.683284457,-6.392961877,-4.633431085,-14.42815249,-7.396537621,-10.77898063,-51.24141554
48,-3.167155425,-11.84750733,-9.26686217,-7.741935484,-6.392961877,-4.633431085,-14.60410557,-7.431013808,-10.73628546,-50.42345823
49,-3.108504399,-11.96480938,-9.325513196,-7.80058651,-6.392961877,-4.633431085,-14.72140762,-7.45952816,-10.68259988,-49.62531755
50,-3.108504399,-12.08211144,-9.442815249,-7.859237537,-6.451612903,-4.633431085,-14.83870968,-7.493109706,-10.65796063,-48.88078971
51,-3.108504399,-12.19941349,-9.501466276,-7.859237537,-6.451612903,-4.633431085,-14.8973607,-7.520101908,-10.63157472,-48.1509321
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [0, 2] [Deg]: HH Pol., Descending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-1.994134897,-10.08797654,-7.80058651,-6.451612903,-5.161290323,-3.460410557,-12.6686217,-6.143331497,-9.725884921,-51.83646305
26,-2.052785924,-10.08797654,-7.859237537,-6.451612903,-5.219941349,-3.519061584,-12.72727273,-6.161585431,-9.761918701,-52.33906841
27,-2.052785924,-10.08797654,-7.859237537,-6.51026393,-5.219941349,-3.519061584,-12.78592375,-6.179091834,-9.784029559,-52.82364297
28,-2.11143695,-10.08797654,-7.859237537,-6.51026393,-5.278592375,-3.57771261,-12.84457478,-6.201082932,-9.821024788,-53.27230883
29,-2.11143695,-10.14662757,-7.859237537,-6.51026393,-5.278592375,-3.57771261,-12.90322581,-6.213081911,-9.824048821,-53.60984606
30,-2.11143695,-10.14662757,-7.859237537,-6.51026393,-5.278592375,-3.57771261,-12.96187683,-6.220501765,-9.81131657,-53.84483115
31,-2.052785924,-10.20527859,-7.917888563,-6.51026393,-5.278592375,-3.519061584,-12.96187683,-6.214733953,-9.767929198,-53.98297891
32,-2.052785924,-10.26392962,-7.917888563,-6.51026393,-5.219941349,-3.519061584,-13.02052786,-6.212101442,-9.746150973,-54.11043944
33,-2.052785924,-10.26392962,-7.917888563,-6.51026393,-5.219941349,-3.519061584,-13.07917889,-6.212290918,-9.730068381,-54.22074285
34,-2.052785924,-10.32258065,-7.917888563,-6.51026393,-5.219941349,-3.519061584,-13.19648094,-6.222724243,-9.719916989,-54.3045776
35,-2.052785924,-10.38123167,-7.976539589,-6.568914956,-5.278592375,-3.519061584,-13.31378299,-6.248473894,-9.720851753,-54.36021627
36,-2.052785924,-10.4398827,-8.035190616,-6.627565982,-5.337243402,-3.57771261,-13.43108504,-6.289026613,-9.733752294,-54.39081353
37,-2.11143695,-10.55718475,-8.093841642,-6.686217009,-5.395894428,-3.636363636,-13.5483871,-6.346363948,-9.780338492,-54.42955421
38,-2.11143695,-10.61583578,-8.152492669,-6.744868035,-5.454545455,-3.636363636,-13.66568915,-6.401747932,-9.809778721,-54.43522375
39,-2.170087977,-10.6744868,-8.211143695,-6.803519062,-5.513196481,-3.695014663,-13.84164223,-6.464195893,-9.85633132,-54.43061075
40,-2.170087977,-10.79178886,-8.269794721,-6.862170088,-5.571847507,-3.753665689,-13.95894428,-6.521809733,-9.8771879,-54.36356244
41,-2.170087977,-10.90909091,-8.328445748,-6.920821114,-5.571847507,-3.753665689,-14.13489736,-6.578795638,-9.886006889,-54.2285387
42,-2.170087977,-11.02639296,-8.445747801,-6.979472141,-5.630498534,-3.812316716,-14.36950147,-6.627185856,-9.870700984,-53.98479162
43,-2.170087977,-11.20234604,-8.504398827,-7.038123167,-5.630498534,-3.812316716,-14.60410557,-6.663178261,-9.824689685,-53.6029538
44,-2.11143695,-11.43695015,-8.62170088,-7.038123167,-5.630498534,-3.753665689,-14.8973607,-6.686263347,-9.726979316,-53.07090119
45,-2.052785924,-11.67155425,-8.739002933,-7.096774194,-5.630498534,-3.695014663,-15.19061584,-6.703699612,-9.606344812,-52.45158025
46,-1.935483871,-11.96480938,-8.856304985,-7.15542522,-5.630498534,-3.636363636,-15.48387097,-6.713290533,-9.463177697,-51.80255628
47,-1.876832845,-12.19941349,-8.973607038,-7.15542522,-5.630498534,-3.57771261,-15.7771261,-6.728679551,-9.352243514,-51.2126917
48,-1.818181818,-12.37536657,-9.090909091,-7.214076246,-5.571847507,-3.519061584,-16.01173021,-6.74563229,-9.256910797,-50.67510716
49,-1.700879765,-12.55131965,-9.208211144,-7.272727273,-5.571847507,-3.460410557,-16.18768328,-6.755187784,-9.152701192,-50.16554356
50,-1.700879765,-12.72727273,-9.26686217,-7.272727273,-5.571847507,-3.460410557,-16.36363636,-6.7778872,-9.097063702,-49.73270454
51,-1.642228739,-12.90322581,-9.384164223,-7.331378299,-5.571847507,-3.401759531,-16.48093842,-6.793257897,-9.030855422,-49.31743562
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-4, -2] [Deg]: HH Pol., Descending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-1.818181818,-9.677419355,-7.624633431,-6.275659824,-4.985337243,-3.284457478,-12.08211144,-5.926990141,-9.542833742,-49.19405729
26,-1.818181818,-9.677419355,-7.624633431,-6.275659824,-4.985337243,-3.284457478,-12.02346041,-5.934488785,-9.561187111,-50.19965934
27,-1.818181818,-9.736070381,-7.624633431,-6.275659824,-4.985337243,-3.284457478,-12.02346041,-5.948782684,-9.576751996,-51.09513877
28,-1.876832845,-9.736070381,-7.624633431,-6.275659824,-5.04398827,-3.343108504,-12.08211144,-5.970425164,-9.596343412,-51.80009298
29,-1.818181818,-9.853372434,-7.683284457,-6.33431085,-5.04398827,-3.284457478,-12.19941349,-5.984305472,-9.556627701,-52.22990713
30,-1.818181818,-9.91202346,-7.741935484,-6.33431085,-5.04398827,-3.284457478,-12.37536657,-6.014456516,-9.535044042,-52.50228342
31,-1.818181818,-10.02932551,-7.80058651,-6.392961877,-5.102639296,-3.343108504,-12.55131965,-6.047865297,-9.516834269,-52.68410256
32,-1.818181818,-10.14662757,-7.859237537,-6.392961877,-5.102639296,-3.343108504,-12.78592375,-6.071480369,-9.496954963,-52.83976058
33,-1.818181818,-10.20527859,-7.859237537,-6.451612903,-5.102639296,-3.343108504,-12.90322581,-6.080521066,-9.481394454,-53.00900324
34,-1.818181818,-10.20527859,-7.859237537,-6.451612903,-5.102639296,-3.343108504,-12.96187683,-6.085954377,-9.476229667,-53.21089941
35,-1.818181818,-10.20527859,-7.859237537,-6.451612903,-5.102639296,-3.343108504,-13.02052786,-6.09910543,-9.483666261,-53.43630092
36,-1.818181818,-10.26392962,-7.917888563,-6.451612903,-5.161290323,-3.343108504,-13.02052786,-6.119198525,-9.49926914,-53.67096167
37,-1.876832845,-10.32258065,-7.976539589,-6.51026393,-5.161290323,-3.401759531,-13.07917889,-6.162365482,-9.539821134,-53.91998345
38,-1.935483871,-10.4398827,-8.035190616,-6.568914956,-5.219941349,-3.460410557,-13.19648094,-6.229307482,-9.587628048,-54.14344562
39,-1.994134897,-10.55718475,-8.152492669,-6.686217009,-5.337243402,-3.519061584,-13.37243402,-6.320182523,-9.642080551,-54.28648218
40,-2.052785924,-10.73313783,-8.269794721,-6.803519062,-5.395894428,-3.57771261,-13.66568915,-6.428253039,-9.696611749,-54.29561665
41,-2.11143695,-10.96774194,-8.387096774,-6.920821114,-5.513196481,-3.695014663,-13.95894428,-6.542360718,-9.752011269,-54.16031832
42,-2.170087977,-11.14369501,-8.563049853,-7.038123167,-5.630498534,-3.753665689,-14.25219941,-6.653178892,-9.79340689,-53.8427356
43,-2.228739003,-11.43695015,-8.739002933,-7.15542522,-5.68914956,-3.812316716,-14.6627566,-6.75941737,-9.806694367,-53.2975807
44,-2.228739003,-11.73020528,-8.914956012,-7.272727273,-5.806451613,-3.870967742,-15.07331378,-6.853791802,-9.772327659,-52.51281936
45,-2.170087977,-12.08211144,-9.090909091,-7.390029326,-5.865102639,-3.870967742,-15.60117302,-6.942706488,-9.700970305,-51.55438866
46,-2.170087977,-12.4340176,-9.26686217,-7.507331378,-5.923753666,-3.870967742,-16.07038123,-7.036069837,-9.654014018,-50.55683241
47,-2.170087977,-12.78592375,-9.501466276,-7.624633431,-5.982404692,-3.870967742,-16.53958944,-7.131149137,-9.621395117,-49.56936944
48,-2.170087977,-13.07917889,-9.677419355,-7.741935484,-6.041055718,-3.929618768,-16.8914956,-7.226690193,-9.606792674,-48.61936987
49,-2.170087977,-13.37243402,-9.853372434,-7.859237537,-6.099706745,-3.988269795,-17.24340176,-7.324294446,-9.603503503,-47.70288999
50,-2.228739003,-13.66568915,-10.02932551,-7.976539589,-6.217008798,-3.988269795,-17.53665689,-7.424364496,-9.626353743,-46.83417372
51,-2.228739003,-13.90029326,-10.20527859,-8.093841642,-6.275659824,-4.046920821,-17.771261,-7.51622125,-9.635204818,-45.97320371
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-8, -6] [Deg]: HH Pol., Descending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-2.052785924,-10.14662757,-8.035190616,-6.627565982,-5.337243402,-3.57771261,-12.55131965,-6.284022044,-9.7770164,-50.69455482
26,-2.11143695,-10.20527859,-8.035190616,-6.686217009,-5.395894428,-3.57771261,-12.60997067,-6.327804311,-9.819290734,-51.46848992
27,-2.11143695,-10.26392962,-8.093841642,-6.744868035,-5.395894428,-3.636363636,-12.6686217,-6.366785356,-9.836813788,-52.15127917
28,-2.11143695,-10.32258065,-8.152492669,-6.744868035,-5.454545455,-3.636363636,-12.72727273,-6.395308736,-9.839220233,-52.70293255
29,-2.11143695,-10.38123167,-8.152492669,-6.744868035,-5.454545455,-3.636363636,-12.84457478,-6.409383762,-9.822642874,-53.10918023
30,-2.11143695,-10.4398827,-8.211143695,-6.803519062,-5.454545455,-3.636363636,-13.02052786,-6.413194324,-9.794710768,-53.3969701
31,-2.11143695,-10.49853372,-8.211143695,-6.744868035,-5.395894428,-3.636363636,-13.07917889,-6.405067665,-9.766794374,-53.59332111
32,-2.052785924,-10.55718475,-8.211143695,-6.744868035,-5.395894428,-3.57771261,-13.19648094,-6.385917767,-9.716021884,-53.69606828
33,-2.052785924,-10.55718475,-8.211143695,-6.744868035,-5.337243402,-3.57771261,-13.25513196,-6.367824877,-9.692064972,-53.77095278
34,-2.052785924,-10.55718475,-8.152492669,-6.686217009,-5.337243402,-3.57771261,-13.31378299,-6.355617797,-9.678045879,-53.83488908
35,-2.052785924,-10.61583578,-8.211143695,-6.686217009,-5.337243402,-3.57771261,-13.37243402,-6.360758333,-9.679702952,-53.93179595
36,-2.052785924,-10.61583578,-8.211143695,-6.744868035,-5.395894428,-3.57771261,-13.37243402,-6.385901347,-9.693899111,-54.0651574
37,-2.11143695,-10.6744868,-8.269794721,-6.803519062,-5.454545455,-3.636363636,-13.48973607,-6.439272385,-9.735891638,-54.24800366
38,-2.11143695,-10.79178886,-8.328445748,-6.862170088,-5.513196481,-3.695014663,-13.60703812,-6.502544738,-9.765971592,-54.42308653
39,-2.170087977,-10.90909091,-8.445747801,-6.979472141,-5.571847507,-3.753665689,-13.72434018,-6.584061724,-9.821019139,-54.57550363
40,-2.228739003,-11.08504399,-8.563049853,-7.038123167,-5.68914956,-3.812316716,-13.95894428,-6.676286509,-9.870552875,-54.62305724
41,-2.287390029,-11.20234604,-8.680351906,-7.15542522,-5.747800587,-3.870967742,-14.19354839,-6.770072897,-9.913083088,-54.53762966
42,-2.346041056,-11.43695015,-8.797653959,-7.272727273,-5.806451613,-3.929618768,-14.48680352,-6.856937949,-9.938372029,-54.29207226
43,-2.346041056,-11.61290323,-8.914956012,-7.331378299,-5.865102639,-3.929618768,-14.78005865,-6.929691187,-9.921420416,-53.8423599
44,-2.346041056,-11.90615836,-9.090909091,-7.390029326,-5.923753666,-3.988269795,-15.13196481,-6.996044948,-9.879507398,-53.20611642
45,-2.287390029,-12.14076246,-9.208211144,-7.507331378,-5.923753666,-3.929618768,-15.54252199,-7.052739757,-9.803748002,-52.42218919
46,-2.228739003,-12.4340176,-9.384164223,-7.565982405,-5.982404692,-3.929618768,-15.95307918,-7.108440451,-9.731035689,-51.58463505
47,-2.228739003,-12.6686217,-9.501466276,-7.683284457,-6.041055718,-3.929618768,-16.30498534,-7.172415618,-9.692678157,-50.76729147
48,-2.228739003,-12.90322581,-9.618768328,-7.741935484,-6.099706745,-3.929618768,-16.59824047,-7.238197077,-9.665863577,-49.96709628
49,-2.228739003,-13.13782991,-9.794721408,-7.859237537,-6.099706745,-3.988269795,-16.83284457,-7.304362349,-9.645595744,-49.17917762
50,-2.228739003,-13.37243402,-9.91202346,-7.917888563,-6.158357771,-3.988269795,-17.06744868,-7.372859525,-9.631822844,-48.40513506
51,-2.170087977,-13.5483871,-10.08797654,-8.035190616,-6.217008798,-3.988269795,-17.30205279,-7.435628708,-9.599397881,-47.61723246
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-66.5, -54.5] [Deg], Lat. [-5.5, -2.5] [Deg]: VV Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-3.108504399,-10.96774194,-8.504398827,-7.15542522,-5.982404692,-4.457478006,-14.01759531,-6.959032689,-10.7568529,-39.02423243
26,-3.167155425,-10.85043988,-8.504398827,-7.15542522,-5.982404692,-4.457478006,-13.84164223,-6.95614805,-10.80209665,-39.80637254
27,-3.167155425,-10.85043988,-8.563049853,-7.214076246,-6.041055718,-4.516129032,-13.7829912,-6.984286486,-10.82698261,-40.60458676
28,-3.225806452,-10.85043988,-8.563049853,-7.214076246,-6.041055718,-4.516129032,-13.7829912,-7.001725989,-10.8534453,-41.38911851
29,-3.225806452,-10.90909091,-8.563049853,-7.272727273,-6.041055718,-4.516129032,-13.7829912,-7.023408904,-10.85312657,-42.15325919
30,-3.225806452,-10.96774194,-8.680351906,-7.331378299,-6.099706745,-4.516129032,-13.90029326,-7.075608951,-10.85901756,-42.91528387
31,-3.284457478,-11.02639296,-8.739002933,-7.390029326,-6.158357771,-4.574780059,-13.90029326,-7.126656091,-10.90225735,-43.70442455
32,-3.284457478,-11.08504399,-8.797653959,-7.448680352,-6.217008798,-4.633431085,-13.95894428,-7.170810278,-10.90654807,-44.42195595
33,-3.284457478,-11.14369501,-8.856304985,-7.448680352,-6.217008798,-4.633431085,-14.01759531,-7.209974029,-10.91197421,-45.17318777
34,-3.343108504,-11.20234604,-8.914956012,-7.507331378,-6.275659824,-4.633431085,-14.07624633,-7.248750385,-10.93459338,-45.96912817
35,-3.343108504,-11.26099707,-8.914956012,-7.565982405,-6.33431085,-4.692082111,-14.13489736,-7.286986492,-10.94910342,-46.79936944
36,-3.343108504,-11.31964809,-8.973607038,-7.624633431,-6.33431085,-4.692082111,-14.19354839,-7.329888047,-10.97026993,-47.71397446
37,-3.401759531,-11.37829912,-9.032258065,-7.624633431,-6.392961877,-4.750733138,-14.25219941,-7.371849362,-11.01219982,-48.70816609
38,-3.401759531,-11.43695015,-9.090909091,-7.683284457,-6.451612903,-4.809384164,-14.25219941,-7.40833024,-11.04390659,-49.74903031
39,-3.460410557,-11.43695015,-9.090909091,-7.741935484,-6.51026393,-4.868035191,-14.19354839,-7.454369382,-11.11590118,-50.86841143
40,-3.57771261,-11.43695015,-9.149560117,-7.80058651,-6.568914956,-4.926686217,-14.13489736,-7.507120225,-11.22086065,-51.98050401
